0ad	古代战争即时策略游戏
test-snapd-rsync-core20	在 Linux/Unix 系统上复制和同步文件和目录。
test-snapd-sh-core18	用于编写基于 core18 的测试的无忧无虑、不妥协的 shell
test-snapd-thumbnailer-consumer	缩略图基本消费者快照
test-snapd-tools	用于测试 snapd 应用程序的工具
test-snapd-upower-observe-consumer	upower-观察用户基本快照
testssl	随时随地在任何端口上测试 TLS/SSL 加密
teststeve12	快照宇宙中最重要的快照
teststeve1	快照宇宙中最重要的快照
teststeve2	快照宇宙中最重要的快照
teststeve3	快照宇宙中最重要的快照
teststeve4	快照宇宙中最重要的快照
teststeve5	快照宇宙中最重要的快照
test-uziot	单行电梯推介为您带来精彩快照
test-vue	测试vue
test-zacharykeeton	单行电梯推介为您带来精彩快照
tetris-ever	一个简单的俄罗斯方块游戏是用 C 编写并用 SDL2 渲染的。
tetris-ever-mixer	一个简单的俄罗斯方块游戏是用 C 编写并用 SDL2 渲染的。
tetris-in-racket	Racket 中开发的俄罗斯方块克隆
tetris-thefenriswolf	俄罗斯方块的终端界面
tex-match	通过绘图查找 LaTeX 符号
text-alert	一个命令行实用程序，可将 stdin 转发到 Twilio 进行警报。
gedit	编辑文本文件
gnome-text-editor	编辑文本文件
textreverse	适用于 Linux 的文本反转器应用程序可以非常轻松地在几秒钟内反转和反转文本
text2handwriting	文字转手稿
text-tool	轻松与文本交互，清理新行、空格、字数、字符数
text-wps-gyl	Qt应用示例
tfcw	Terraform 云包装器
tflint	用于 terraform 定义的 Linter
tfselect	用于在不同 terraform 版本之间切换的命令行工具
tftp-hpa-jhobbs	简单文件传输协议客户端
the-battle-for-the-solar-system	基于任务的 2D 太空射击游戏
climate-trail	应对气候灾难
thecloudportal-signage-client	云门户信令
the-copy-me	复制我
costumemaster-reloaded	改变你的服装。解决难题。起床。
covidgame	COVID-19 游戏
thedesk	桌子
theengs-gateway	利用 Theengs 解码器的 BLE 到 MQTT 多平台网关
ffmpeg-cat	使用熟悉的“cat”语法连接多个视频文件
ffmpeg-integration-gplv3	用于消费者快照的 FFmpeg 快照集成阶段（符合 GPLv3）
the-game-of-life-linux	Java版的生命游戏
thegloaming	适合睡眠的闹钟设备网络服务
the-goonies	更新经典游戏
theia-mardy	Theia视觉库
the-lost-vikings	更新到街机经典
thelounge	The Lounge — 自托管 IRC 网络客户端
theloungeirc	theLounge IRC 网络客户端
metasploit-framework	Metasploit 框架的完整堆栈。
the-pandoran-war	潘多拉战争是一款基于任务的 2D 太空射击游戏
thepassage	在这款横向卷轴动作冒险射击游戏中一路杀出重围
the-powder-toy	一款开源的2D物理模拟游戏！
thequila-hello	GNU 你好，你好世界快照
the-real-deal	不错的卡牌游戏合集
the-seventh-door	Sétima Porta 是由 Famas 社区完成的一个团体项目。
the-silver-searcher-ag	类似于ack的代码搜索工具，注重速度。
the-siren	战争已经蔓延到你的国家。敌军正在入侵你的土地。重新装弹你的高射炮并杀死所有伞兵！
the-spirit-engine	精神引擎角色扮演游戏
the-three-stooges	一款影院游戏
the-traveling-fox	一款极具吸引力的 3D 平台游戏
tree	生成深度缩进文件列表的目录列表命令
the-ur-quan-masters	《Star Control II》的移植版 - 现代操作系统的乌尔拳大师
libxslt	为 GNOME 项目开发的 XSLT C 库
thincast-client	适用于 Linux、macOS 和 Windows 的免费远程桌面客户端。
thirdorder	帮助创建用于计算非谐波 IFC 的输入文件的 Python 脚本
thomir-says	托米说什么？
thonny	适合初学者的 Python IDE
thorium-reader-snap	基于Readium Toolkit的EPUB阅读器
threat-dragon	OWASP Threat Dragon，桌面版
thudng2	Battletech MUX 的 GUI 客户端
thump	Battletech MUX 的地图编辑器
thunderbird	Mozilla Thunderbird 电子邮件应用程序
ticker	终端股票观察者和股票位置跟踪器
ticktick	滴答声
tic-tac-toe	基本的 Tic-Tac-Toe 游戏，基于 SDL2
tic-tac-toe-x	与朋友一起玩井字游戏或与计算机对战。
tiddlygit	整洁的Git
tidec	具有类似 GUI 的用户界面的终端 C/C++ IDE
tide-ide	WebAssembly 开发的现代方法
tidy	HTML 解析器和漂亮的打印机。 HTML 工具之父
tifig	将 HEIF 图像转换为可用格式！
tigris	底格里斯命令行工具
tika-app	用于元数据发现和提取的 Tika 服务器
tika-server	用于元数据发现和提取的 Tika 服务器
tiki-freecell	精美版空当接龙
tiled	免费、易于使用且灵活的瓷砖地图编辑器。
timeboxing	时间盒是一种时间管理技术，涉及分配特定的时间段（称为时间盒）来完成任务。
timecard	用 Kotlin Native 编写的简单命令行时间跟踪程序
timedatecalculator	计算时间和时间间隔
timeline	时间线
timelog	CLI 时间跟踪
timelogger	时间记录器
timetable	日历
timetabler	时间线
timewarrior	从命令行监视时间。
timew-spirotot	时间战士
timg-alan	终端图像查看器
timg	图像和视频查看终端
timg-test	终端图像查看器
timidity-fat	TiMidity++ 是一个开源 MIDI 到 WAVE 转换器和播放器。
timidity-snap	TiMidity++ 是一个开源 MIDI 到 WAVE 转换器和播放器。
timing71	Timing71 赛车计时聚合网络的桌面客户端。
tinc-vpn	tinc 开源 VPN 守护进程
tino-rpi-test	单行电梯推介为您带来精彩快照
tintin	TinTin++ 是一个可编程的 MUD 客户端。
tiny-beast-dictionary	抓取网络、使用人工智能服务并拥有海量免费词典供离线使用的翻译器
tinyproxy-ogra	非常小的代理服务器
tinyproxy-snap	适用于 POSIX 操作系统的轻量级 HTTP(S) 代理守护程序。
tio	一个简单的串口设备I/O工具
tipitaka-pali-projector	三藏巴利文投影仪
tips	尖端
tiptop-deluxe	另一款很棒的 PopCap 配对游戏
titania	编辑、查看和导航 X3D 和 VRML 世界
tizonia	Linux终端云音乐
tkmreader	连接并收集 Linux 设备的任务监视器数据
tkmviewer	查看来自嵌入式 Linux 设备的任务监视器数据
tk-safe	TK-保险
tlaplus	TLA Toolbox 是 TLA+ 工具的 IDE。
tldr	python tldr 客户端
tmate-esnow	即时端点共享
tmcbeans	供学生使用“测试我的代码”的 IDE
tmc-cli-rust	TestMyCode CLI
tm-desktop	tm-桌面| TikTok音乐桌面客户端
tmpwatcher	检测何时在指定目录中创建全局可写文件
tmux-non-dead	从单个终端访问和控制终端（或窗口）。
tmux	多路复用器
tmx	具有类似 GUI 的用户界面的终端多路复用器
todo-antrax	全炭疽病
sameasmuli-todo	命令行任务管理实用程序
todoist	“目前最好的待办事项列表应用程序” - The Verge
todolistapp	TODO 列表应用
todolist	家务活
todorant	欺骗原始大脑完成任务的智能应用程序
toggler	切换
toilet-deej	浴室终端横幅工具
tokenpayd	无头 TokenPay 钱包
tokenpay	TokenPay 钱包 GUI
tokodon	乳齿象客户
tomba	CLI 实用程序可在几分钟内搜索或验证电子邮件地址列表
tomcat-sample	使用 Tomcat 一部分的示例 Web 应用程序
tomcat-with-ssl	由 Certbot 启用和管理的具有 SSL 的 Apache Tomcat。
tootle	废话
toot	toot - Mastodon CLI 客户端
topstock	库存管理
tor-daemon	Tor 二进制文件作为守护进程运行
tor-mkg20001	防御网络监视和流量分析
torgo	用 Java 编写的 Logo 解释器。
tor-middle-relay	供其他人使用 Tor 网络的基础设施节点
torrhunt	Torrent 浏览器和搜索引擎
tor-snowflake	雪花检察官
tortoisehg	海龟
total-concentration	精美的益智游戏
totaljs-flow	总流量
total-minesweeper	您一直在等待的扫雷更新。
toto	为快乐的人提供的酷工具
toto-fran	快照宇宙中最重要的快照
totor	就像幻觉，但更糟糕
touchify-player	下一代数字标牌平台
touch-typer	触摸数字化仪
tournament-chess-2	不错的国际象棋游戏
tournament-manager	管理您的锦标赛。
tower-master	Tower Master 是一款多人平台游戏，带有易于使用的拖放关卡编辑器
tpad	具有类似 GUI 的用户界面的终端文本编辑器
tpm2-toolbox	TPM 2.0 实用程序
tpm2-tools-alexmurray	TPM 2.0 实用程序
tqdm	快速且可扩展的 CLI 进度条
tracepath-jhobbs	跟踪路径
tracex-parser	以人类和机器可读的格式解析 ThreadX 跟踪缓冲区
tmnationsforever	最流行的 PC 在线赛车游戏。
tmunitedforever	赛道狂潮永远团结
trackself	了解新的 TrackSelf v0.2.1 – 通过 CloudSync 进行增强，可实现设备之间的无缝数据同步。
trader-linux	商人的游戏
tradesim	贸易模拟
tradingview	Linux 桌面版 TradingView
traefik	云原生应用程序代理
train-director	Train Director 是流行的 Train Dispatcher 模拟软件的克隆
trampoae-desktop	Trampoe-桌面
trandoshan	分布式暗网跟踪器。
transitionsdj	DJ混音器
translines	令人愉快的实时地铁建设游戏。
transmission-daemon-simosx	Transmission 是一款快速、简单且免费的 BitTorrent 客户端。
transmission	通过 BitTorrent 下载和共享文件
transporter	无忧文件共享
transtracdevice	传输装置
travis	特拉维斯 CI 客户端
trax	一款结合了管道狂热和滑动拼图机制的游戏。
treasureshr	宝藏掉落游戏
treasures-of-aligar	有趣的程序街机游戏
t-rec	终端录音机-t-rec
treemindmap	树思维导图
treetag	TreeTag 是一个个人数据管理器。
trello-cli	Trello 命令行界面
trello-desktop	Trello 桌面
tremulous	外星人大战人类，带有 RTS 元素的 FPS 游戏
trenchbroom	基于 Quake 引擎的现代跨平台游戏关卡编辑器。
trestus	使用 Trello board 作为数据源的静态页面生成器
triangle-wallpaper	创建漂亮的三角形壁纸并设置它们按计划更改。
tricepmail	2021 年发送电子邮件的最佳方式。所有域的无限电子邮件地址。
trifa-desktop	桌面 Java Tox 客户端
trigger-rally-game	3D 拉力赛模拟，具有出色的漂移物理引擎，超过 100 张地图
trigger-rally-ogra	具有出色物理引擎的 3D 拉力赛模拟
trilium	Trilium Notes 是一款分层笔记应用程序
trilogy-studio	三部曲工作室
triomino-counter	终极三骨牌计数器
triplea-linux	TripleA 是一款免费的在线回合制策略和棋盘游戏
trippy	网络诊断工具
br-t9s	Trirematics 下的 DevOps 和 BubbleRAN 产品控制工具箱
trivia	好奇心
trivia-desktop	桌面上的好奇心
trivia-quiz	回答无穷无尽的问题
trivia-text-quiz	基于文本的问答测验。打开琐事数据库问题
trivy	Aquasecurity Trivy 漏洞扫描器
troy2000	平台游戏特洛伊2000
trte	任务 Linux 运行时环境
true-cli	真正的 CLI 客户端
trumpetbox	TrumpetBox 访客 WIFI 和短信营销信息亭桌面管理软件
trusafe	TruSafe - 加密文件共享。
trusafe-testsnap	Trusafe 数据存储安装包
truthtables	真值表快照
ttg	显示类似于 ping(1) 输出的 SNMP 带宽使用情况
tti-lw-stack	LoRaWAN 的 Things Stack Enterprise
ttimer	带或不带 java 的系统的计时器
ttn-lw-migrate	从其他 LoRaWAN 网络服务器迁移到 The Things Stack
ttn-lw-stack	LoRaWAN 的堆栈
ttyd	通过网络共享您的终端
mote	座右铭
ttyplot	用于终端/控制台的实时绘图实用程序，具有来自标准输入的数据输入
tuba	浏览联邦宇宙
tunai-queue	排队系统
tunnel	此快照通过私人 VPN 连接计算机
tunneler	一款实时挖掘和射击多人坦克对战游戏
tunuk-data-producer	用于监控公共交通单位的物联网数据生成器
turbosmtp-executive-monitor	涡轮执行和专业的电子邮件传送与实时通知
turbo-risk	风险版本
turbowarp-desktop	带有编译器的 Scratch mod 可更快地运行项目、深色模式、多个附加组件等等。
turtlebot3c	Turtlebot3 主要功能一览！
turtlebot-demo-kyrofa	Turtlebot ROS 演示
turtle-odyssey-2	不错的平台游戏
turtle-odyssey	不错的平台游戏
tusk	精致的 Evernote 桌面应用程序
tuxfight	燕尾服大战
tux-football	Tux Football，一款有趣的 2D 街机风格足球游戏。
tux-math	一款针对儿童的教育数学游戏。
tuxmathscrabble	小企鹅的数学拼字游戏。
tuxocide	FPS 3D，南极洲战争仍在继续……
tux-paint	适合所有年龄段儿童的屡获殊荣的绘画项目。
tuxpusher	Tux 主题 3D 推币游戏。
tuxpusheraf	515份独家奖品+6只企鹅
tuxscape	像燕尾服一样的神话冒险！灵感来自著名的逃生游戏。
tuxtyping	Tux Typing 是一款针对儿童的教育打字程序。
tuxvsdragon	杀死红龙礼服！
tvheadend	与 DVB、ATSC、IPTV 和 SAT>IP 兼容的电视流媒体服务器
twa-simosx	具有强烈意见的小型网络审核员。
twinejs	Twine，一种用于交互式和非线性讲故事的工具
twinux	Twitter 的快速本地电子客户端
twist	捻
twistypuzzle	适合各种曲折谜题的 3D 模拟器。
txdx	与 todo.txt 兼容的免费待办事项应用程序。
txtme	txt.me – 客户服务实时聊天
tylercode-cycles	一个简单的、主题感知的 CPU 信息工具
typeapp-mail	适用于您所有电子邮件帐户的 TypeApp Mail
typescript-language-server	TypeScript 语言服务器
typora-alanzanattadev	易于使用的折扣编辑器
typora	一个最小的 Markdown 读写应用程序
typuspocus	一位魔术师需要输入咒语才能完成他的特定冒险。
tzgrid	显示时间网格以帮助计算时区。
u1test20160725	简单的 dd 之类的工具
u1test20160920	最简单的快照总结
u1test-snap-with-tracks	最简单的快照总结
uboot-tools	用于管理 u-boot 安装的各种工具
ubports-flasher	用于在设备上安装 Ubuntu Touch 的命令行工具
ubports-installer	在 UBports 设备上安装 Ubuntu Touch 的简单方法。
ubuntu-accomplishments	Ubuntu 的成就
ubuntu-app-platform	Ubuntu应用程序平台，用于在共享库平台上运行应用程序
ubuntu-budgie-welcome	欢迎屏幕应用程序在首次登录时迎接新用户。
ubuntu-bug-triage	最近更新了启动板错误以进行分类
ubuntu-cloud-image-changelog	用于在两个云映像之间生成包更改日志的有用实用程序
ubuntu-cloud-image	查找适用于云的最新 Ubuntu 映像
ubuntu-core-desktop-init	Ubuntu 核心桌面启动
