0ad	Forn stríðsleikur í rauntíma
tarski	Kerfi til að reikna Tarski formúlur og hálfalgebrumengi
taskade	Uppgötvaðu Taskade, AI-knúna framleiðnivettvanginn þinn. Auktu skilvirkni með AI aðstoð fyrir verkefni, glósur og hugarkort
taskbook	Verkefni, töflur og athugasemdir fyrir búsvæði stjórnlínu
task-creator	Búðu til mál á github
taskctl	taskctl - samhliða verkefnahlaupari, verkfærasett fyrir sjálfvirkni verkefna fyrir þróunaraðila
task	Einfaldari verkefnishlaupari/Gera val skrifað í Go
tasker	Einfalt verkefnaforrit til að muna hvað þú gerðir
taskline	Verkefni, töflur og athugasemdir fyrir búsvæði stjórnlínu
tasks	Skipanalínuforrit til að nota
taskwarrior-plars	Eiginleikaríkur verkefnalistastjóri sem byggir á leikjatölvum
taskwarrior-tui	Notendaviðmót flugstöðvar fyrir taskwarrior
tastyworks-unofficial	TastyWorks vettvangur fljótt pakkaður fyrir eindrægni
tauno-monitor	Einfaldur sjálfstæður raðtengiskjár
tauno-serial-plotter	Einfaldur serial plotter
taup	TauP verkfærakistan: Sveigjanlegur skjálftaferðatími og Raypath tól
tautulli	Python-undirstaða eftirlits- og rakningartól fyrir Plex Media Server.
tbfdigital	tbfdigital
tbinge	sprell
tcpdump	Command Line Network Traffic Analyzer
tcpdump-snap	tcpdump pakkagreiningartæki
tcpie	CLI tól til að smella hvaða TCP tengi sem er
tcping	Ping TCP
tcr-status-led	stjórnar stöðu LED á Microfabricator
tdengine	opinn uppspretta stórgagnavettvangur hannaður og fínstilltur fyrir IoT.
tdhcad	Grafík og vektorgrafík
tdhgis	GIS, vektor-based space analysis
tdhgisnet	Stysta leið greining
tdhnet	Vökvalíkön fyrir vatnsdreifingarkerfi og leiðslukerfi
teachnext-demo	kenna næsta kynningu
teachnext	Verðlaunuð stafræn kennslustofulausn
team-pacman	Team Pacman er fjölspilunarútgáfa af klassískum spilakassaleik Namco
teams-for-linux	Lið fyrir Linux
teamtime	Handrit til að rekja tíma fyrir teymi sem er dreift á heimsvísu.
teamworkchat	Teamwork Chat gefur öllu teyminu þínu vettvang fyrir tafarlaus samskipti.
teapot	Vefþjónusta sem svarar I'm a teapot
teatime	Einfalt skeiðklukkuforrit fyrir Unity og Dash to Dock
comp-labs-meet	Vertu með í fundum á Linux skjáborðinu þínu ókeypis án nokkurs reiknings!
tectonic	Tectonic leturfræðikerfi
teeworlds-unofficial	Retro fjölspilunarskytta
teletext	Finnskur textavarpaskoðari
tela-icons	Striga táknþema fyrir Snaps
telebit-relay	Af hverju vinir leyfa ekki localhost vini
telefaza	Telefaz
telega	Heill óopinber viðskiptavinur fyrir Telegram á GNU Emacs.
telegraf	Símafulltrúi
telegram-cli	Skipanalínuviðmót fyrir Telegram. Notar leslínuviðmótið.
telegram-desktop	Hratt. Öruggt. Öflugur.
telegram-testbart	Skýmiðað skilaboðaforrit með áherslu á öryggi og hraða.
teleguard-desktop	Spjallboði án þess að tengjast símanúmeri og án þess að safna auðkennisgögnum notenda. Engin skrásetning
telemetry-agent-host	Host Agent til að safna tölfræði um auðlindanotkun!
telemetrytv-desktop	TelemetriaTV skjáborð
ttvdesktop	TelemetriaTV skjáborð
ttvplayer	TelemetriaTV spilari
telemetrytv	TelemetriaTV spilari
teleprompter	Birta flettitexta á skjánum
telsis-translator-flutter	Telsis tungumálaþýðandi
tempest	OpenStack samþættingarprófunarsvíta
tempest-jhobbs	OpenStack Storm próf
templatizer	Flýttu þróun þinni með því að nýta sniðmátsgeymslur.
temporal	Notaðu CLI til að keyra og hafa samskipti við tímabundinn netþjón
tempren	Tól til að endurnefna skrár sem byggir á sniðmátum
teresa-cli	Opinn uppspretta tól til að dreifa forritum í Kubernetes klasa
terje-awesome-app	Annað snappið mitt alltaf
term2048	2048 á flugstöðinni þinni
termbreaker	TermBreaker er öfugur brotaleikur.
termdown	Niðurtalning og tímamælir á flugstöðinni þinni.
terminal-parrot	Dansandi páfagaukur fyrir flugstöðina þína
terminalworm	Endurgerð af klassíska Snake leiknum
terminology	Terminal emulator skrifaður með Enlightenment Foundation bókasöfnunum
terminusdb	Skjalagrafgagnagrunnur
termius-beta	Termius Beta
termius-app	SSH, SFTP, MOSH, telnet og serial í einu fallegu forriti
termplay	Spilaðu mynd/myndband á flugstöðinni þinni!
termshark	Flugstöðvarviðmót fyrir tshark, innblásið af Wireshark
termtosvg-simosx	Taktu upp flugstöðvarlotur sem SVG hreyfimyndir
termtrack	Fylgstu með gervihnöttum á flugstöðinni þinni
termui	termui
terraform-abacao	byggja, breyta og útfæra innviði á öruggan og skilvirkan hátt
terraform-docs	Terraform Docs Búðu til Terraform einingarskjöl á mörgum sniðum
terraform	Terraform gerir þér kleift að búa til, breyta og bæta innviði.
terraform-johanburati	Búðu til, breyttu og útfærðu innviði á öruggan og skilvirkan hátt
terraform-snap	Terraform Instant App
terragrunt	byggja, breyta og útfæra innviði á öruggan og skilvirkan hátt
terranet-dashboard	Þægindasmellur þjónar sem hnútrauður framhlið fyrir terranet-hermiverkfæri
teselagen	TeselaGen CLI tól
tesler	TesLEr
tess	Flugstöð Tess
tesseract-ignition	Tesseract Ignition
test003-nc	Nextcloud Server – Öruggt heimili fyrir öll gögnin þín
test872334	próf872334
test-aaronplusone	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-addition	Bætir við python snap app
test-adrianhungate	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-ajit	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-alex	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-anneso	frábær snap
testapp-desktop	TestApp
test-app-hiro	Snapcraft kynningu fyrir öpp
test-assumes	Prófsmellur fyrir snapd
test-brent-quixote	Snapcraft kynningu fyrir öpp
test-callen3181	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-casey-annis	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-danielfischer	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-deildabikar	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-description-markdown	Prófsmellur sem hefur merkta lýsingu
test-diegobruno	PRÓFPRÓF PRÓF Einlínu lyftistref fyrir ótrúlega smellið þitt
hello-railarem	Bara próf með tákninu
testepython	próf
tester1	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-erik	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
testflinger-cli	testflinger-cli
test-for-juan-2	Instant Test 2 fyrir Github
lee	GNU Halló, Hello World snap
test-hello	einfalt dotnet halló heimur
test-hello-wililupy	Prófaðu Hello World snappið
test-hesam-pakdaman	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-ianmacdougall	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-incuvers-iot-jy	test-incuvers-iot-jy
test-jamesh-webapp	Einfalt próf vefforrit
test-jason	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-joseluis	Þetta er tilraun með kurteisi af Guði mínum Kyle Nitzsche
test-kimjensen	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-kuway	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-lnxagent	Linux Agent uppsetningarforrit
testmace	Öflugur IDE til að vinna með API
test-masa	テストスナップ
testmylib	SNAp HelloLib próf
test-ngmartins	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
testnode	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-offlineimap-aguest	Ótengdur IMAP
test-offlineimap-amalota	Ótengdur IMAP
test-offlineimap-jaimeandrescatano	Ótengdur IMAP
test-oskar	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-pandrei	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-raf-snap-name	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-rahul	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-repo-hiro	prófunargeymsla fyrir hiro
test-robhughes	Augnablik próf fyrir útgáfu í verslun
test-sharif	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
tests-hello	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-skuby2	prófútgáfu
testsnap1	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-snap-ct	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-snapd-base-bare	Tómt grunnsmellur fyrir snapd prófun
test-snapd-control-consumer	Grunnsmellur fyrir neytendur með tafarlausri stjórn
test-snapd-core18	Runtime umhverfi byggt á Ubuntu 18.04
test-snapd-cups-control-consumer	Basic Consumer Snap fyrir bollastýringu
test-snapd-cups-provider	Bollabirgir útvegar bollafestingu
test-snapd-daemon-refresh	test-snapd-daemon-fresh
test-snapd-dbus-service	Python-undirstaða dbus þjónustu dæmi
test-snapd-fuse-consumer	Basic öryggi neytendafesting
test-snapd-glxgears	glxgears
test-snapd-gnome-online-accounts	Prófaðu gnome-online-accounts-service viðmótið
test-snapd-go-webserver	Lágmarks Golang vefþjónn fyrir lipurð
test-snapd-network-status-provider	Basic Network Status Provider Snap
test-snapd-pc-core18	PC græja notuð til að prófa snapd
test-snapd-pc	PC-græja fyrir samþættingarpróf
test-snapd-pc-kernel	Gamaldags prófunarkjarni byggður á pc-linux r207
test-snapd-public	Basic Snap verður birt sem opinbert
test-snapd-python-webserver	Python-undirstaða vefþjóns dæmi
test-snapd-rsync-core18	Afrita og samstilla skrár og möppur á Linux/Unix kerfum.
test-snapd-rsync-core20	Afrita og samstilla skrár og möppur á Linux/Unix kerfum.
test-snapd-sh-core18	Vandræðalaus, málamiðlunarlaus skel til að skrifa core18-undirstaða próf
test-snapd-thumbnailer-consumer	Smámynd Basic Consumer Snap
test-snapd-tools	Verkfæri til að prófa snapd forritið
test-snapd-upower-observe-consumer	upower-observe notandi undirstöðu snap
testssl	Prófar TLS/SSL dulkóðun hvar sem er og á hvaða höfn sem er
teststeve12	Mikilvægasta snap í snap alheiminum
teststeve1	Mikilvægasta snap í snap alheiminum
teststeve2	Mikilvægasta snap í snap alheiminum
teststeve3	Mikilvægasta snap í snap alheiminum
teststeve4	Mikilvægasta snap í snap alheiminum
teststeve5	Mikilvægasta snap í snap alheiminum
test-uziot	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
test-vue	próf-sýn
test-zacharykeeton	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
tetris-ever	Einfaldur tetris leikur er skrifaður í C og sýndur í SDL2.
tetris-ever-mixer	Einfaldur tetris leikur er skrifaður í C og sýndur í SDL2.
tetris-in-racket	Tetris klón þróað í Racket
tetris-thefenriswolf	Flugstöðvarviðmót fyrir Tetris
tex-match	Finndu LaTeX tákn með því að teikna
text-alert	Skipanalínuforrit sem framsendir stdin til Twilio til að gera viðvörun.
gedit	Breyta textaskrám
gnome-text-editor	Breyta textaskrám
textreverse	Textaskilaforrit fyrir Linux gerir það mjög auðvelt að snúa við og snúa við texta innan nokkurra sekúndna
text2handwriting	Texti að handriti
text-tool	Hafðu samskipti við textann þinn á auðveldan hátt, hreinsaðu upp nýjar línur, bil, orðafjölda, stafafjölda
text-wps-gyl	Qt forritsdæmi
tfcw	Terraform Cloud Wrapper
tflint	Linter fyrir terraform skilgreiningar
tfselect	Skipanalínutól til að skipta á milli mismunandi terraform útgáfur
tftp-hpa-jhobbs	Trivial File Transfer Protocol viðskiptavinur
the-battle-for-the-solar-system	Tvívíddar geimskotleikur sem byggir á verkefni
climate-trail	Að lifa af loftslagsheimildina
thecloudportal-signage-client	TheCloudPortal merki
the-copy-me	Afritaðu mig
costumemaster-reloaded	Skiptu um búning. Leysið þrautir. Að vakna.
covidgame	COVID-19 leikurinn
thedesk	Borðið
theengs-gateway	BLE til MQTT Multiplatform Gateway Nýtir Theengs Decoder
ffmpeg-cat	Sameina margar myndbandsskrár með því að nota kunnuglega "cat" setningafræði
ffmpeg-integration-gplv3	FFmpeg snap samþættingarstigið fyrir neytendamyndir (GPLv3 samhæft)
the-game-of-life-linux	Java útgáfa af leiknum lífsins
thegloaming	Svefnvæn vekjaraklukka vefþjónusta
the-goonies	Uppfærðu í klassíska leikinn
theia-mardy	Theia Vision bókasafn
the-lost-vikings	Uppfærsla í spilakassaklassíkina
thelounge	The Lounge — IRC vefþjónn sem hýsir sjálfan sig
theloungeirc	theLounge IRC Web Client
metasploit-framework	Allur staflan af metasploit ramma.
the-pandoran-war	The Pandoran War er tvívíddar geimskotleikur sem byggir á verkefni
thepassage	Sprengdu þig í þessari hasarævintýraskotleik sem flettir til hliðar
the-powder-toy	Opinn uppspretta 2D eðlisfræði uppgerð leikur!
thequila-hello	GNU Halló, Hello World snap
the-real-deal	Flott safn af kortaleikjum
the-seventh-door	Sétima Porta er hópverkefni sem Famas samfélagið hefur lokið við.
the-silver-searcher-ag	Kóðaleitartæki svipað ack, með áherslu á hraða.
the-siren	Stríð hefur náð til lands þíns. Óvinasveitir ráðast inn í lönd þín. Endurhlaðið flöguna þína og drepið alla fallhlífarhermennina!
the-spirit-engine	The Spiritual Engine RPG
the-three-stooges	Cinemaware leikur
the-traveling-fox	Aðlaðandi 3D platformer
tree	Skipun um skráningarskrá sem framleiðir skráningarskrá með dýptarinndrætti
the-ur-quan-masters	Höfn Star Control II - Ur-Quan Masters fyrir nútíma stýrikerfi
libxslt	XSLT C bókasafn þróað fyrir GNOME verkefnið
thincast-client	Ókeypis fjarstýrð skrifborðsbiðlari fyrir Linux, macOS og Windows.
thirdorder	Python forskrift til að hjálpa til við að búa til inntaksskrár til að reikna út óharmonískar IFC
thomir-says	Hvað segir Thomi?
thonny	Python IDE fyrir byrjendur
thorium-reader-snap	EPUB lesandi byggður á Readium Toolkit
threat-dragon	OWASP Threat Dragon, skrifborðsútgáfa
thudng2	GUI viðskiptavinur fyrir Battletech MUX
thump	Kortaritill fyrir Battletech MUX
thunderbird	Mozilla Thunderbird tölvupóstforrit
ticker	Lokabirgðaeftirlit og hlutabréfastöðumæling
ticktick	TickTick
tic-tac-toe	Grunnleikur Tic-Tac-Toe, byggður á SDL2
tic-tac-toe-x	Spilaðu tíst með vini þínum eða á móti tölvunni.
tiddlygit	TiddlyGit
tidec	Terminal C/C++ IDE með GUI-líkt notendaviðmóti
tide-ide	Nútíma nálgun við WebAssembly þróun
tidy	HTML flokkari og fallegur prentari. Afi HTML verkfæra
tifig	Umbreyttu HEIF myndum í nothæf snið!
tigris	Tigris skipanalínuverkfæri
tika-app	Tika þjónn fyrir uppgötvun og útdrátt lýsigagna
tika-server	Tika þjónn fyrir uppgötvun og útdrátt lýsigagna
tiki-freecell	Falleg útgáfa af Freecell Solitaire
tiled	Ókeypis, auðveldur í notkun og sveigjanlegur flísakortaritill.
timeboxing	Timeboxing er tímastjórnunartækni sem felur í sér að úthluta tilteknum tíma, sem kallast tímakassa, til að klára verkefni.
timecard	Einfalt skipanalínu tímamælingarforrit skrifað í Kotlin Native
timedatecalculator	Reiknar út tíma og tímabil
timeline	Tímalína
timelog	CLI tímamæling
timelogger	tímaritari
timetable	Dagatal
timetabler	Tímalína
timewarrior	Fylgstu með tíma frá skipanalínunni.
timew-spirotot	Time Warrior
timg-alan	Útstöðvamyndaskoðari
timg	Útstöð fyrir mynda- og myndbandsskoðun
timg-test	Útstöðvamyndaskoðari
timidity-fat	TiMidity++ er opinn uppspretta MIDI til WAVE breytir og spilari.
timidity-snap	TiMidity++ er opinn uppspretta MIDI til WAVE breytir og spilari.
timing71	Skrifborðsbiðlari fyrir Timing71 mótorsport tímasetningarnetið.
tinc-vpn	tinc open source VPN púkinn
tino-rpi-test	Einlínu lyftuhæð fyrir frábæra skyndimynd þína
tintin	TinTin++ er forritanlegur MUD viðskiptavinur.
tiny-beast-dictionary	Þýðandi sem skríður um vefinn, notar gervigreindarþjónustu og er með risastórar ókeypis orðabækur til notkunar án nettengingar
tinyproxy-ogra	mjög lítill proxy-þjónn
tinyproxy-snap	léttur HTTP(S) umboðspúki fyrir POSIX stýrikerfi.
tio	Einfalt I/O tól fyrir raðbúnað
tipitaka-pali-projector	Tipitaka Pali skjávarpi
tips	ábendingar
tiptop-deluxe	Annar frábær PopCap samsvörun leikur
titania	Breyttu, skoðaðu og vafraðu um X3D og VRML heima
tizonia	Linux flugstöð ský tónlist
tkmreader	Tengdu og safnaðu verkefnaeftirlitsgögnum frá Linux tækjum
tkmviewer	Skoðaðu verkefnaeftirlitsgögn frá innbyggðum Linux tækjum
tk-safe	TK-trygging
tlaplus	TLA Toolbox er IDE fyrir TLA+ verkfæri.
tldr	python tldr viðskiptavinur
tmate-esnow	Samstundis deiling endapunkta
tmcbeans	IDE fyrir nemendur sem nota Test My Code
tmc-cli-rust	TestMyCode CLI
tm-desktop	tm-skrifborð | TikTok Music Desktop viðskiptavinur
tmpwatcher	Greinir þegar heimskrifanlegar skrár eru búnar til í tiltekinni möppu
tmux-non-dead	Aðgangur að og stjórnað skautum (eða gluggum) frá einni útstöð.
tmux	tmux
tmx	Terminal multiplexer með GUI-líkt notendaviðmóti
todo-antrax	allur miltisbrandur
sameasmuli-todo	Skipanalínuverkefnastjórnunarforrit
todoist	„Besta verkefnalistaforritið núna“ - The Verge
todolistapp	TODO listaforrit
todolist	Húsverk
todorant	Snjallt app sem platar frumstæða heilann til að klára verkefni
toggler	Skipta
toilet-deej	borði fyrir baðherbergisstöðina
tokenpayd	Höfuðlaust TokenPay veski
tokenpay	TokenPay veski GUI
tokodon	Mastodon viðskiptavinur
tomba	CLI tól til að leita eða staðfesta netfangalista á nokkrum mínútum
tomcat-sample	Dæmi um vefapp sem notar hluta af Tomcat
tomcat-with-ssl	Apache Tomcat með SSL virkt og stjórnað af Certbot.
tootle	Tootle
toot	toot - Mastodon CLI viðskiptavinur
topstock	Lagerstjórnun
tor-daemon	Tor tvöfaldur í gangi sem púki
tor-mkg20001	Verjast netvöktun og umferðargreiningu
torgo	Lógótúlkur skrifaður á Java.
tor-middle-relay	Innviðahnút fyrir aðra til að nota Tor netið
torrhunt	Torrent vafri og leitarvél
tor-snowflake	saksóknari snjókorna
tortoisehg	turtlehg
total-concentration	Fallegur ráðgáta leikur
totaljs-flow	totaljs flæði
total-minesweeper	Minesweeper uppfærslan sem þú hefur beðið eftir.
toto	Flott tól fyrir hamingjusamt fólk
toto-fran	Mikilvægasta snap í snap alheiminum
totor	Eins og hallósín, en verra
touchify-player	Næsta kynslóð stafræna skiltavettvangs
touch-typer	Snertu Digitizer
